QID,Label,Description
Q10090,Hindu,adherent of Hinduism
Q10640,Football Manager,series of association football management simulation games
Q11016,technology,"making, modification, usage, and knowledge of tools, machines, techniques, crafts, systems, and methods of organization"
Q11073,list of astronomers,Wikimedia list article
Q11281,troll,person who sows discord on the Internet
Q11420,judo,"modern martial art, combat and Olympic sport"
Q11425,animation,process of creating animated films and series
Q11633,photography,"art, science, and practice of creating durable images by recording light or other electromagnetic radiation"
Q12198,sexually transmitted infection,infection transmitted through human sexual behavior
Q12544,Byzantine Empire,Eastern Roman Empire during Late Antiquity and the Middle Ages
Q12560,Ottoman Empire,"former empire in Southeast Europe, Southwest Asia, and North Africa"
Q12567,Vikings,"Norse explorers, warriors, merchants, and pirates"
Q13353,Montserrat,British Overseas Territory in the Caribbean
Q14660,flag,"piece of fabric with a distinctive design, used as a symbol"
Q16394,Franche-Comté,former administrative region in France
Q17221,spokesperson,someone engaged or elected to speak on behalf of others
Q18097,Korea,country in East Asia
Q18127,record label,brand and trademark associated with the marketing of music recordings and music videos
Q19652,public domain,works that are no longer in copyright term or were never protected by copyright law
Q20599,Chief Administrator,Prussian post
Q22633,Germanic peoples,"peoples who are, or are related to, native speakers of a Germanic language"
Q22857,climbing,activity to ascend a steep object
Q23059,New People's Party,political party in Hong Kong
Q23086,North Yorkshire,ceremonial county in England (use Q21241814 for administrative non-metropolitan county)
Q23792,Palestine,geographical region in the Middle East; use Q42620 for the interim government
Q24482,Respublika–Ata Zhurt,political party in Kyrgyzstan
Q24863,Democrats for Andorra,political party
Q24866,Social Democratic Party,political party in Andorra
Q25227,Netherlands Antilles,former country within the Kingdom of the Netherlands
Q25853,Indie,Wikimedia disambiguation page
Q26061,Southern Denmark,administrative region of Denmark
Q26102,whistleblower,person who tells the public or someone in authority about alleged dishonest or illegal activities
Q26167,Duchy of Schleswig,region between Germany and Denmark
Q26857,Aetolia,mountainous region of Greece
Q27394,Southern Africa,southernmost region of the African continent
Q27686,hotel,business enterprise that provides lodging in a single building paid on a short-term basis
Q27914,tenor,classical male singing voice
Q27939,singing,act of producing musical sounds with the voice
Q28025,Ryukyu Kingdom,Historical kingdom in parts of present-day Japan
Q28161,labour economics,functioning and dynamics of the markets for labour
Q28428,Baekje,old kingdom of Korea
Q28511,Buyeo,"ancient kingdom, located in southern Manchuria and northern Korean Peninsula, from 2nd century BCE to 494 CE"
Q28573,Inca Empire,empire in pre-Columbian America
Q28654,eunuch in Imperial China,eunuchs in Imperial China
Q28823,textile,"material produced by twining, weaving, felting, knotting, or otherwise processing natural or synthetic fibers"
Q29536,paganism,"non-Abrahamic religion, or modern religious movement such as nature worship"
Q29583,fashion design,art of the application of design and aesthetics to clothing and accessories
Q30461,president,"leader of a country or part of a country, usually in republics"
Q31360,Union of Moderate Parties,political party in Vanuatu
Q31732,nativity scene,representation of the birth of Christ
Q32078,Naqshbandi,major spiritual order of Sunni Islam Sufism
Q32506,National Coalition for Syrian Revolutionary and Opposition Forces,coalition of opposition groups in the Syrian civil war
Q32562,Australasia at the Olympics,Combined team of Australia and New Zealand in 1908 and 1912 Olympic Games
Q32897,Banu Thaqif,Wikimedia list article
Q33203,Methodism,group of historically related denominations of Protestant Christianity
Q33231,photographer,person who takes photographs
Q33357,Crimean Tatar,"Turkic language spoken in Crimea, Central Asia (mainly in Uzbekistan), and by the Crimean Tatar diasporas in Turkey, Romania, Bulgaria"
Q33793,Union Party,group of Norwegian politicians in the 1814 National Assembly
Q34359,Doctor,fictional character from Star Trek: Voyager
Q34726,Greek mythology,body of myths of the ancient Greeks
Q35245,etymology,"study of the history of words, their origins, and how their form and meaning have changed over time"
Q35715,South Australia,state of Australia
Q35942,Polynesia,subregion of Oceania
Q36196,Judaeo-Spanish,language of Sephardic Jews and form of Spanish
Q36510,Modern Greek,dialects and varieties of the Greek language spoken in the modern era
Q36633,prostitution,practice of engaging in sexual relations in exchange for payment
Q36663,Urhobo,language
Q36956,leprosy,Chronic infection caused by bacteria Mycobacteria lepræ and lepromatosis
Q38610,Dominion of Newfoundland,UK possession in North America between 1907 and 1949
Q40348,lawyer,legal professional who helps clients and represents them in a court of law
Q40477,Slavs,"Indo-European ethno-linguistic group living in Central Europe, Eastern Europe, Southeastern Europe, Northern Asia, and Central Asia"
Q41079,Inner Mongolia,autonomous region of China
Q41323,American football,form of team game played with an oval ball on a field marked out as a gridiron
Q41477,Bubi people,ethnic group in Equatorial Guinea
Q41630,psychoanalysis,psychological theory that was founded in 1890 by the Viennese neurologist Sigmund Freud
Q41726,freemasonry,"group of fraternal organizations; originates from 14th-c. stonemason fraternities; members are initiated into 3 levels (Apprentice, Fellowcraft, Master Mason); organized into lodges, supervised by a Grand Lodge, but with no worldwide governing body"
Q41872,interstellar medium,matter and radiation in the space between the star systems in a galaxy
Q42515,cartography,study of making maps
Q42814,Euskadi Ta Askatasuna,former armed Basque terrorist group (1959-2018)
Q43035,electrical engineering,field of engineering that deals with electricity
Q43103,European Americans,Americans of European descent
Q43292,Sultan,Noble title with several historical meanings
Q43482,Franks,Germanic people
Q43504,criminalistics,
Q43518,oceanography,branch of Earth science that studies the ocean
Q44066,New Socialist Party,political party
Q44476,Greek Byzantine Catholic Church,religious organization
Q44949,Bukharan Jews,ethnic group
Q45551,Czech Silesia,Historical land in the Czech Republic
Q45578,2008 United States presidential election,56th quadrennial U.S. presidential election
Q45670,Kingdom of Portugal,kingdom in Southwestern Europe between 1139 and 1910
Q45981,rhythm and blues,genre of popular music that originated in African American communities in the 1940s and is usually performed by an ensemble
Q46158,humanism,philosophical school of thought emphasizing the value of human beings and focusing on rationalism and empiricism
Q46441,Cascading Style Sheets,declarative language for styling
Q47750,Lega Nord,Italian political party
Q47844,landscape architecture,"design of outdoor public areas, landmarks, and structures to achieve environmental, social-behavioral, or aesthetic outcomes"
Q48204,voluntary association,group of people with shared interests or aims
Q49212,Texas A&M University,"public research university in College Station, Texas, United States"
Q49213,University of Texas at Austin,"public research university in Austin, Texas, United States"
Q49291,Powhatan,Virginia Indian confederation of tribes
Q49322,Demak,sultanate in Java
Q49377,Oriental orthodoxy,branch of Eastern Christianity which accepts the first three Ecumenical Councils
Q49629,Action Française,French royalist movement
Q49763,Christian Social Union of Bavaria,"conservative party in Germany, mainly from Bavaria"
Q49848,document,preserved information
Q51122,Italian unification,Creation of the politically and administratively integrated nation of Italy
Q51619,Venerable,title used for religious leaders and clergy
Q51705,Muscogee,Native American people traditionally from the southeastern United States
Q54129,International Labour Organization,United Nations agency dealing with labour issues
Q54801,Politics Can Be Different,"Hungarian green-liberal political party, founded in 2009"
Q55502,Kingdom of Jerusalem,medieval Christian kingdom in the Middle East
Q56587,Feylis,group of humans
Q57706,Papal Zouaves,
Q58451,Pope of the Coptic Orthodox Church of Alexandria,position
Q58721,irreligion,"absence of religion, an indifference towards religion, a rejection of religion, or hostility towards religion"
Q59774,Wicca,"modern pagan, witchcraft religion"
Q60140,Indian subcontinent,peninsular region in south-central Asia below the Himalayas
Q61509,travel,movement of people between relatively distant geographical locations
Q62633,Grand Duchy of Finland,predecessor state of modern Finland
Q64780,Alash Party,political party
Q64842,Armenian Catholic Church,one of the Eastern particular churches sui iuris of the Catholic Church
Q64885,Melkite Greek Catholic Church,Eastern Catholic Church
Q72251,1876 United States presidential election,1876 election in the US
Q72805,Muong people,ethnic group
Q72810,Nùng people,ethnic group in Vietnam
Q79854,Communist Party of the Soviet Union,political party founded in 1912
Q80252,Sinaloa,state of Mexico
Q80914,Tabasco,state of Mexico
Q80962,animal husbandry,management of farmed animals by humans
Q81058,homeopathy,"system of alternative medicine based on the doctrine of ""like cures like"""
Q82256,Golden Dawn,criminal organization and far-right political party in Greece
Q82681,Tlaxcala,state of Mexico
Q82708,Church of England,Christian church in England and the Mother Church of the worldwide Anglican Communion
Q83204,triumvirate,political regime ruled or dominated by three powerful individuals known as triumvirs (the arrangement can be formal or informal)
Q83891,Sasanian Empire,"empire succeeding the Parthian empire; during its height, ruled modern-day Iran, Iraq, eastern Arabia, Levant, Caucasus, Egypt, and large parts of Turkey, Central Asia, Yemen and Pakistan; the last Persian empire before the rise of Islam"
Q83958,Macedonia,ancient kingdom
Q85300,Odesa University,university in Ukraine
Q94473,I.Ya. Horbachevsky Ternopil National Medical University of Ministry of Health Care of Ukraine,university
Q102911,Holland,region and former province in the western Netherlands
Q103076,screenplay,written work by screenwriters for a film or television program
Q103163,Abbot,religious title
Q105092,Kingdom of Mercia,one of the kingdoms of the Anglo-Saxon Heptarchy
Q105527,jazz fusion,"music genre that developed in the late 1960s when musicians combined jazz harmony and improvisation with rock music, funk, and rhythm and blues"
Q107198,barber,"person whose occupation is mainly to cut, dress, groom, style and shave males' hair"
Q107380,Lippe,historical territory
Q108266,Navajo,ethnic group in North America
Q109402,Aymara,Indigenous people living in South America
Q110843,Moderate Party,Political party in Sweden
Q113012,Liberal Alliance,Wikimedia disambiguation page
Q113360,Truppenarzt,German term: the military designation for the position of doctors in the Bundeswehr
Q116203,Murle people,Murlen single Murle people
Q117868,2012 Catalan regional election,election
Q120569,gastroenterology,branch of medicine focused on the digestive system and its disorders
Q120601,Omaha people,Native American tribe
Q123028,paediatrics,field of medicine dealing with the care of children
Q123033,Tsuut'ina Nation,ethnic group
Q123305,appropriation,technique in art
Q123559,al-Andalus,"in historiography, the territories of the Iberian Peninsula under Islamic rule between 711 and 1492"
Q124216,Swiss,citizens or residents of Switzerland
Q125983,2006 Catalan regional election,election
Q126033,2003 Catalan regional election,election
Q126044,"Catalonian parliamentary election, 1999",election
Q126236,conquistador,"soldiers, explorers, and adventurers at the service of the Spanish Empire and Portuguese Empire"
Q127076,vomiting,forcible expulsion of the contents of the stomach through the mouth
Q127861,Khedivate of Egypt,1867-1914 monarchy in Northeastern Africa
Q128531,Mingo,Iroquoian-speaking group of Native Americans
Q128758,satire,genre of arts and literature in the form of humor or ridicule
Q131026,philately,study of stamps and postal history and other related items
Q131089,geodesy,"earth science of accurately measuring and understanding three of Earth's fundamental properties: geometric shape, orientation in space, and gravitational field"
Q131172,welding,fabrication or sculptural process for joining materials
Q131347,Oahu,"island of Hawaii, United States"
Q131434,Noricum,"celtic kingdom, then a province of the Roman Empire"
Q131471,darts,throwing game
Q131479,Dominican Order,Roman Catholic religious order
Q132116,folkloristics,branch of anthropology devoted to the study of folklore
Q132821,murder,unlawful killing of a human with malice aforethought
Q133744,tour operator,
Q134450,Transitional National Government,internationally recognized government of Somalia from 2000 to 2004
Q134456,Yukio Mishima,Japanese author (1925-1970)
Q137014,.السعودية,internationalized country code top-level domain for Saudi Arabia
Q137097,Alevism,branch of Turkish Islam
Q138345,Liberal Party of Canada,oldest federal political party in Canada
Q138698,Khmer,Wikimedia disambiguation page
Q139617,Social Democrat Hunchakian Party,political party
Q140420,Rusyns,ethnic group that speaks an Eastern Slavic language
Q140686,chairperson,"leading or presiding officer of an organized group such as a board, committee, or deliberative assembly"
Q141817,German Americans,ethnic group
Q142897,Zaza people,Ethnic group in eastern Anatolia
Q143304,2009 Iranian presidential election,10th Iranian presidential election
Q143719,Balad,political party in Israel
Q145903,egyptology,study of Ancient Egypt
Q146713,Arab Federation,short-lived country that was formed in 1958 from the union of Iraq and Jordan
Q149566,middle school,school which children attend between primary school and secondary school
Q149805,Kingdom of Iraq,1921-1958 monarchy in the Middle East
Q150398,Convergence and Union,political coalition
Q150804,The Pianist,2002 biographic film on the Warsaw Ghetto directed by Roman Polanski
Q150820,Playboy,men's magazine from the United States
Q151095,Duchy of Berg,former German state and dukedom
Q151469,United Russia,political party in Russia
Q151768,Conservative Democratic Party of Switzerland,political party
Q152220,Kurdistan Workers' Party,Kurdish nationalist and separatist armed organization
Q152450,municipal election,"elections for municipal (local urban) governments, usually for a council and/or a mayor"
Q152956,brigader general,senior rank in the armed forces
Q153006,Free University of Berlin,"public research university located in Berlin, Germany"
Q153963,German East Africa,former German posesssion in the African Great Lakes region between 1884–1919
Q154549,carpenter,profession; person who performs carpentry
Q154741,Confederation of the Rhine,confederation of client states of the First French Empire
Q154849,Grand Duchy of Tuscany,former Italian state (1569–1801; 1815–1859)
Q155511,plant nursery,facility where plants are propagated and grown to usable size
Q155570,Saxe-Weimar-Eisenach,grand duchy
Q155801,Fuerzas Armadas Revolucionarias de Colombia -  Ejército del Pueblo,Colombian guerrilla
Q155930,maritime transport,"transportation on water surface or through water entity, using watercrafts"
Q156038,Duchy of Courland and Semigallia,former country
Q157109,Burgundian Netherlands,the Netherlands from 1384 to 1482
Q157148,major general,military rank (for US use Q3280545)
Q157367,Brandenburg-Prussia,former country
Q157676,Boii,Celtic tribe
Q157802,Margrave,originally the medieval title for the military commander of the border provinces of the Holy Roman Empire or of a kingdom
Q157904,Sultanate of Zanzibar,1856-1890 monarchy in the Indian Ocean
Q159394,defendant,accused person
Q159535,conspiracy theory,explanation of an event or situation that invokes a conspiracy
Q159856,Duchy of Brabant,State of the Holy Roman Empire
Q160117,broker,"person who arranges transactions between a buyer and a seller, and gets a commission when the deal is executed"
Q160687,Valdivia,city in Chile
Q161545,South Schleswig Voter Federation,regionalist political party in Schleswig-Holstein in northern Germany
Q162244,hero,"person or character who fights adversity through ingenuity, courage, or strength"
Q162555,oncology,branch of medicine dealing with cancer
Q163734,Sąjūdis,political party
Q164182,Democratic Socialists of America,socialist organization
Q164800,Symbolism,art movement
Q165005,Franciscan,group of religious orders within the Catholic Church (1209-1517)
Q165029,electrician,"tradesperson specializing in electrical wiring of buildings, stationary machines and related equipment"
Q165148,Hevelli,ethnic group
Q165999,2005 German federal election,election
Q166382,emir,"title of high office, used throughout the Muslim world."
Q166861,Cistercians,Catholic religious order
Q167847,Consecrated life,
Q167987,tai chi chuan,"Chinese martial art practiced for defense training, health benefits and meditation"
Q169223,Party of Democratic Socialism,political party in Greece
Q170011,Praepositus sacri cubiculi,court position in the Byzantine Empire
Q170088,Herero people,ethnic group
Q170111,Evangelical Church in Germany,"association of 20 Lutheran, United and Reformed churches in Germany"
Q170355,Indigenous Australians,native peoples of the Australian continent and Torres Strait Islands
Q170454,Agartala,city in North-east India
Q170588,Republic of Texas,"independent sovereign nation in North America that existed from March 2, 1836, to February 19, 1846"
Q170895,Moldavian Soviet Socialist Republic,republic of the Soviet Union (1940-1991)
Q171393,Wallachia,historical and geographical region of Romania
Q171795,Abkhazians,"Northwest Caucasian ethnic group, mainly living in Abkhazia"
Q172107,Polish–Lithuanian Commonwealth,"dualistic state, a bi-confederation, of Poland and Lithuania ruled by a common monarch, who was both the King of Poland and the Grand Duke of Lithuania"
Q172663,exorcism,practice of evicting demons or other spiritual entities from a person or an area
Q172748,antipope,"person who holds a significantly accepted claim to be pope, without being recognized as pope"
Q172907,praetor,official of the Roman Republic
Q173082,Dacia,Balkan kingdom of the Dacians (168 BC-106 AD)
Q173152,Union for a Popular Movement,French centre-right political party
Q173242,woodcut process,relief printing technique
Q173950,art dealer,person that buys and sells works of art
Q174165,innovation,"application of better solutions that meet new requirements, inarticulated needs, or existing market needs"
Q175276,Kingdom of León,historical state
Q175881,Roman Republic,republic at the Apennine Peninsula between 1798-1799
Q176495,Federal State of Austria,sovereign state in Central Europe (1934-1938)
Q176968,Foreign government advisor in Meiji Japan,
Q177635,nephrology,medical specialty that concerns itself with the kidneys
Q178469,Biafra,secessionist state in Nigeria
Q178488,Kefalonia,Greek island in the Ionian Sea
Q178659,illustration,depiction made by an artist
Q178678,kickboxing,group of stand-up combat sports based on kicking and punching
Q178913,Empire of Trebizond,Byzantine Greek state on Black Sea coast
Q179232,interior design,"design of the interiors, sometimes including the exterior, of a space or building, to achieve a better environment"
Q179442,demagogy,"type of political behaviour, pandering to audience's fears and emotions"
Q179509,hydrogeology,branch of science that studies distribution and movement of groundwater
Q180095,tyrant,absolute ruler unrestrained by law or constitution
Q180165,mechatronics,combination of electronics and mechanics
Q180933,cryptozoology,pseudoscience and subculture asserting the existence of folklore creatures
Q180958,faculty,"division of a university by subject area, sometimes also by level"
Q182488,Equal Rights,political party
Q182647,Khwarezm,oasis region
Q182687,palmistry,foretelling the future through the study of the palm
Q182832,concert,live performance of music
Q183287,yakuza,members of traditional transnational organized crime syndicates in Japan
Q183318,dictator,"in government, an absolutist or autocratic ruler who assumes sole power over the state"
Q184922,Udmurt people,ethnic group
Q186579,English literature,literary works written in the English language
Q186591,Pakistan Peoples Party,Centre-left social democratic political party in Pakistan
Q187897,Tolteca,"Pre-columbian civilization in Tula, Hidalgo, Mexico"
Q188449,neurosurgery,medical specialty of disorders which affect any portion of the nervous system
Q188463,spectrometer,used to measure spectral components of light
Q188559,French Foreign Legion,military service branch of the French Army
Q188584,phrenology,branch of pseudoscience: assertion of human characteristics based on shape of the skull
Q188670,anarcho-communism,form of anarchism
Q188761,Vestal Virgin,priestesses of goddess Vesta in Ancient Rome
Q188844,volunteering,unpaid work undertaken freely by individuals as a service to others
Q188956,plant pathology,scientific study of plant diseases
Q188966,contract bridge,card game
Q188993,anarcho-syndicalism,branch of anarchism
Q189010,notary,"person licensed by the state to perform acts in legal affairs, in particular witnessing signatures on documents"
Q189275,Soviet Union national association football team,former men's national association football team representing the Soviet Union
Q189533,academic degree,college or university diploma
Q189820,Censor,Wikimedia disambiguation page
Q190752,supreme court,highest court in a jurisdiction
Q190928,shipyard,place where ships are repaired and built
Q191057,Salafism,ultra-conservative reform movement within Sunni Islam
Q191356,Icelanders,North Germanic ethnic group native to Iceland; citizens or residents or Iceland
Q191421,lama,title for a teacher of the Dharma in Tibetan Buddhism
Q191764,Khmer Rouge,followers of the Communist Party of Kampuchea in Cambodia
Q192180,Latvian Soviet Socialist Republic,republic of the Soviet Union (1940-1991)
Q192187,Communist Party of the Russian Federation,political party
Q192521,technical drawing,creation of standards and the technical drawings
Q192616,Nogais,ethnic group
Q192821,French Communist Party,French political party
Q193057,forging,manufacturing process involving the shaping of metal
Q193326,Goldman Sachs,U.S. investment bank
Q196986,Zeugmacher,"German term: ancient name of a professional clothier, who produced light fabrics of combed wool"
Q198403,Pirate Party Iceland,political party in Iceland
Q199657,reading,cognitive process of decoding symbols to derive meaning; a form of language processing
Q199687,remote sensing,"acquisition of information about an object or phenomenon without making physical contact with the object, especially the Earth"
Q199821,Gran Colombia,former republic
Q200314,Democratic Party of Japan,political party in Japan
Q200569,Dutch,citizens or residents of The Netherlands
Q201036,Vitacura,commune of Chile
Q201478,United Democratic Left,Greek political party (1951–1977)
Q201948,sniper,Highly trained marksman
Q202649,Party of the European Left,European political party
Q203427,Zimbabwe African National Union,militant organisation that fought against white minority rule in Rhodesia
Q203658,waste picker,craft
Q203817,First Bulgarian Empire,Medieval Bulgarian state that existed in southeastern Europe between the 7th and 11th centuries AD
Q204543,National Liberation Front,political party in Algeria
Q204699,Socialist Party of Indonesia,former political party of Indonesia
Q204716,New Zealand National Party,major New Zealand political party
Q206882,Civil Police of Brazil,institution that performs functions of judicial and investigative police in Brazil
Q206898,Liberation theology,Christian theological approach originating from Latin America and emphasising the role of the poor
Q206987,vibraphone,musical instrument
Q207050,Buryats,ethnic group
Q207241,applied arts,branch in the production of consumer goods
Q207293,crown prince,heir to the throne
Q207353,Acadia,colony of New France in northeastern North America
Q207694,art museum,building or space for the exhibition of art
Q207776,Girondists,political faction
Q208145,iconography,branch of art history
Q208365,ethnomusicology,"study of music emphasizing cultural, social, material, cognitive, biological, and other dimensions"
Q208762,chaplain,minister of a religious tradition who is attached to an institution
Q209523,Bohuslän,province in Sweden
Q210363,Democratic Party of Vietnam,former political party in Vietnam
Q210551,Viceroyalty of the Río de la Plata,Viceroyalty of the Spanish Empire in America
Q211004,Ecumenical Patriarchate of Constantinople,autocephalous church of Eastern Orthodox Christianity
Q212024,spiritual,a music genre created by generations of African-Americans
Q212071,rector,academic official
Q212878,husband,male spouse; man who is married
Q212912,Haredi Judaism,spectrum of groups within Orthodox Judaism
Q213376,winemaking,"the production of wine, starting with the selection of the fruit, its fermentation into alcohol, and the bottling of the finished liquid"
Q213510,Belgian Congo,former Belgian colony corresponding to the modern-day Democratic Republic of the Congo
Q213608,beatboxing,"vocal percussion involving imitation of drum machines, turntablism, and other musical instruments using one's mouth, lips, tongue, and voice, connected with hip-hop culture"
Q214443,vice admiral,NATO rank code of OF-8
Q215443,Swedish Empire,the years 1611–1721 in the history of Sweden
Q215536,merchant,businessperson who trades in commodities that were produced by others
Q216151,Vietnamese people,ethnic group originally from northern Vietnam
Q216923,Chinese Taipei,name used by Taiwan in international organizations and events
Q217107,travel agency,private retailer or public service that provides tourism-related services to the public
Q217169,Rhodesia,(1965-79) unrecognized state in Southern Africa
Q217713,chargé d'affaires,head of diplomatic mission when  no higher official exists
Q219184,croupier,someone appointed at a gambling table to assist in the conduct of the game
Q219205,Hmong people,ethnic group
Q219477,missionary,member of a religious group sent to do evangelism
Q219616,tightrope walking,skill involving walking on a thin wire or rope
Q219995,Pablo rodriguez alvarez,native inhabitants of the Canary Islands
Q220117,legal advice,advice on legal issues for private or legal persons
Q220979,Carthusian Order,religious order
Q221457,Congress Poland,former state in Eastern Europe
Q221915,Egbe Omo Oduduwa,political party
Q222902,sulky,lightweight cart used for harness races
Q223166,countertenor,voice type
Q223266,vassal,person who has entered into a mutual obligation to a lord or monarch in the context of the feudal system in medieval Europe
Q223825,Agricola,Wikimedia disambiguation page
Q225400,Waldviertel,subdivision of the region of Lower Austria
Q225469,Puyallup people,ethnic group
Q227007,Zhu,ancient Chinese state
Q233576,Epidaurus,ancient city in Greece
Q234953,Shaivism,A Hindu tradition inspired by god Shiva
Q235190,México,capital of the Colombian department of mexico
Q235280,JK,Wikimedia disambiguation page
Q236807,Yugoslavs,United South Slavic people and the citizens of the former Yugoslavia
Q237131,France in the Middle Ages,period of France
Q237338,seinen,manga marketed to adolescent boys and men
Q239298,montage,"film editing technique to condense narrative space, time, and information"
Q239502,Kingdom of Galicia–Volhynia,kingdom in Central Europe
Q243606,industrial design,use of art and science to improve the aesthetics and usability of a product
Q245068,comedian,"person who seeks to entertain an audience, primarily by making them laugh"
Q245343,Barclays,British multinational banking and financial services company
Q246901,Miss Ukraine,beauty contest
Q249078,United Arab List,Israeli-Arab political party
Q249697,eulogy,"speech in praise of a person, usually recently deceased"
Q252692,Karamanlides,Turkish speaking ethnic group
Q253436,Shawnee,ethnic group indigenous to North America
Q253623,patent,set of exclusive rights granted by a sovereign state to an inventor or their assignee so that he has a temporary monopoly
Q253754,Egyptian Communist Party,political party
Q253911,Egyptian Social Democratic Party,political party
Q254508,outlaw,"person, that is declared as outside the protection of the law"
Q256029,Indigenous Social Alliance Movement,political party in Colombia
Q257855,anti-federalism,movement that opposed the creation of a stronger U.S. federal government and which later opposed the ratification of the Constitution of 1788
Q258146,feral child,human child who has lived isolated from human contact from a very young age
Q261881,2008 Cypriot presidential election,10th election of President of Cyprus Republic
Q261891,script editor,editor who manages production of scripts in television and film
Q264970,Anhalt-Köthen,German Territory
Q266582,Democratic Union of Hungarians in Romania,political party
Q267886,Party of the Cardenist Front of National Reconstruction,political party
Q268218,Emperor of China,sovereign of Imperial China
Q268416,Belletristic literature,type of written work in which fictive stories take place (not 'popular' for 'genre' fiction)
Q269295,Rhinoceros Party of Canada,original (now defunct) Rhinoceros Party of Canada
Q271277,savate,French combat sport
Q273613,knyaz,historical Slavic title
Q274488,Eastern Wu,one of the Three Kingdoms of China
Q274514,Eglise catholique française,
Q275051,Sumerian religion,first religion of Mesopotamia region which is tangible by writing
Q276667,1956 South Korean presidential election,
Q278874,Anhalt-Dessau,principality of the Holy Roman Empire and later a duchy of the German Confederation
Q281460,pipe organ,wind instrument that produces sound by driving pressurized air (called wind) through pipes selected via a keyboard
Q281833,Taira no Kiyomori,Japanese samurai (1118-1181)
Q281977,Estonian United Left Party,political party
Q285185,Al-Gama'a al-Islamiyya,Egyptian Sunni Islamist movement
Q285354,Mizrachi,former political party in Israel
Q285388,Al-Islah,political party
Q285828,Gibraltarian people,ethnic group
Q289577,Himyarite Kingdom,former country in ancient Yemen
Q290441,Ukrainian Democratic Alliance for Reform,Ukrainian political party
Q291414,Al-Wasat Party,political party
Q298874,Austrian Silesia,former autonomous region of the Kingdom of Bohemia and the Austrian Empire
Q302884,Bavarian People's Party,political party
Q303668,National Renaissance Front,political party in Romania
Q305317,South African Communist Party,"Political party in South Africa, allied with the ANC"
Q307001,Abkhazian Orthodox Church,
Q308678,habilitation,postdoctoral degree
Q308714,Communist Party USA,American political party
